!|7|0|CHIAPAS|
!|7|1|ACACOYAGUA|
!|7|2|ACALA|
!|7|3|ACAPETAHUA|
!|7|4|ALTAMIRANO|
!|7|5|AMATAN|
!|7|6|AMATENANGO DE LA FRONTERA|
!|7|7|AMATENANGO DEL VALLE|
!|7|8|ANGEL ALBINO CORZO|
!|7|9|ARRIAGA|
!|7|10|BEJUCAL DE OCAMPO|
!|7|11|BELLA VISTA|
!|7|12|BERRIOZABAL|
!|7|13|BOCHIL|
!|7|14|EL BOSQUE|
!|7|15|CACAHOATAN|
!|7|16|CATAZAJA|
!|7|17|CINTALAPA|
!|7|18|COAPILLA|
!|7|19|COMITAN DE DOMINGUEZ|
!|7|20|LA CONCORDIA|
!|7|21|COPAINALA|
!|7|22|CHALCHIHUITAN|
!|7|23|CHAMULA|
!|7|24|CHANAL|
!|7|25|CHAPULTENANGO|
!|7|26|CHENALHO|
!|7|27|CHIAPA DE CORZO|
!|7|28|CHIAPILLA|
!|7|29|CHICOASEN|
!|7|30|CHICOMUSELO|
!|7|31|CHILON|
!|7|32|ESCUINTLA|
!|7|33|FRANCISCO LEON|
!|7|34|FRONTERA COMALAPA|
!|7|35|FRONTERA HIDALGO|
!|7|36|LA GRANDEZA|
!|7|37|HUEHUETAN|
!|7|38|HUIXTAN|
!|7|39|HUITIUPAN|
!|7|40|HUIXTLA|
!|7|41|LA INDEPENDENCIA|
!|7|42|IXHUATAN|
!|7|43|IXTACOMITAN|
!|7|44|IXTAPA|
!|7|45|IXTAPANGAJOYA|
!|7|46|JIQUIPILAS|
!|7|47|JITOTOL|
!|7|48|JUAREZ|
!|7|49|LARRAINZAR|
!|7|50|LA LIBERTAD|
!|7|51|MAPASTEPEC|
!|7|52|LAS MARGARITAS|
!|7|53|MAZAPA DE MADERO|
!|7|54|MAZATAN|
!|7|55|METAPA|
!|7|56|MITONTIC|
!|7|57|MOTOZINTLA|
!|7|58|NICOLAS RUIZ|
!|7|59|OCOSINGO|
!|7|60|OCOTEPEC|
!|7|61|OCOZOCOAUTLA DE ESPINOSA|
!|7|62|OSTUACAN|
!|7|63|OSUMACINTA|
!|7|64|OXCHUC|
!|7|65|PALENQUE|
!|7|66|PANTELHO|
!|7|67|PANTEPEC|
!|7|68|PICHUCALCO|
!|7|69|PIJIJIAPAN|
!|7|70|EL PORVENIR|
!|7|71|VILLA COMALTITLAN|
!|7|72|PUEBLO NUEVO SOLISTAHUACAN|
!|7|73|RAYON|
!|7|74|REFORMA|
!|7|75|LAS ROSAS|
!|7|76|SABANILLA|
!|7|77|SALTO DE AGUA|
!|7|78|SAN CRISTOBAL DE LAS CASAS|
!|7|79|SAN FERNANDO|
!|7|80|SILTEPEC|
!|7|81|SIMOJOVEL|
!|7|82|SITALA|
!|7|83|SOCOLTENANGO|
!|7|84|SOLOSUCHIAPA|
!|7|85|SOYALO|
!|7|86|SUCHIAPA|
!|7|87|SUCHIATE|
!|7|88|SUNUAPA|
!|7|89|TAPACHULA|
!|7|90|TAPALAPA|
!|7|91|TAPILULA|
!|7|92|TECPATAN|
!|7|93|TENEJAPA|
!|7|94|TEOPISCA|
!|7|96|TILA|
!|7|97|TONALA|
!|7|98|TOTOLAPA|
!|7|99|LA TRINITARIA|
!|7|100|TUMBALA|
!|7|101|TUXTLA GUTIERREZ|
!|7|102|TUXTLA CHICO|
!|7|103|TUZANTAN|
!|7|104|TZIMOL|
!|7|105|UNION JUAREZ|
!|7|106|VENUSTIANO CARRANZA|
!|7|107|VILLA CORZO|
!|7|108|VILLAFLORES|
!|7|109|YAJALON|
!|7|110|SAN LUCAS|
!|7|111|ZINACANTAN|
!|7|112|SAN JUAN CANCUC|
!|7|113|ALDAMA|
!|7|114|BENEMERITO DE LAS AMERICAS|
!|7|115|MARAVILLA TENEJAPA|
!|7|116|MARQUES DE COMILLAS|
!|7|117|MONTE CRISTO DE GUERRERO|
!|7|118|SAN ANDRES DURAZNAL|
!|7|119|SANTIAGO EL PINAR|
